タイトル,メーカー,発売日,ジャンル,価格,備考,所持
The麻雀・闘牌伝,ビデオシステム,34075,テーブル,8900,－,×
サムライスピリッツ,タカラ,34599,対戦格闘,10900,－,×
鮫亀,ハドソン,35125,パズル,8980,－,×
ザ・モノポリーゲーム2,トミー,34789,テーブル,11500,－,×
ザ・ラストバトル,テイチク,34670,RPG,9800,－,×
サラブレッドブリーダー,ヘクト,34208,その他,9700,－,×
サラブレッドブリーダーII,ヘクト,34493,その他,12800,－,×
サラブレッドブリーダーIII,ヘクト,35356,その他,8200,－,×
斬IIスピリッツ,ウルフ・チーム,33753,シミュレーション,9800,－,×
斬IIIスピリッツ,日本テレネット、ウルフ・チーム,34404,シミュレーション,12800,－,×
SANKYO Fever!フィーバー!,日本テレネット,34635,テーブル,9800,－,×
三國志III,光栄,33916,シミュレーション,14800,－,×
三國志IV,光栄,34677,シミュレーション,14800,－,×
三國志英傑伝,光栄,35061,シミュレーション,12800,－,×
三国志正史 天舞スピリッツ,ウルフ・チーム,34145,シミュレーション,12800,－,×
サンサーラ・ナーガ2,ビクターエンタテインメント,34530,RPG,9800,－,×
3次元格闘ボールズ,メディアリング,34817,対戦格闘,9800,－,×
サンスポフィッシング 渓流王,イマジニア,1994-12-22 00:00:00,スポーツ,9980,廉価版：1996/12/6、\5980,×
サンダースピリッツ,東芝EMI,33599,シューティング,8600,－,×
サンダーバード,コブラチーム,34222,アクション,8800,－,×
サンドラの大冒険,ナムコ,33808,アクション,8300,－,×
サンリオ上海,キャラクターソフト,34577,パズル,6980,－,×
サンリオワールドスマッシュボール!,キャラクターソフト,34166,アクション,6980,－,×
ジ・アトラス,パック・イン・ビデオ,34782,シミュレーション,10800,－,×
G.O.D～目覚めよと呼ぶ声が聴こえ～,イマジニア,35419,RPG,7980,－,×
ジーコ サッカー,エレクトロニック・アーツ・ビクター,34397,スポーツ,9800,－,×
G2 ジェノサイド,ケムコ,34551,アクション,9800,－,×
GTレーシング,イマジニア,35153,レース,10800,－,×
CBキャラウォーズ,バンプレスト,33844,アクション,8500,－,×
GP-1,アトラス,34145,レース,8800,－,×
GP-1 RS,アトラス,34656,レース,9800,－,×
シヴィライゼーション 世界七大文明,アスミック,34614,シミュレーション,12800,－,×
JWP女子プロレス ピュア・レッスル・クイーンズ,ジャレコ,34691,スポーツ,9800,－,×
JBザ・スーパーバス,NGP,35048,スポーツ,11800,－,×
Jリーグ'96 ドリームスタジアム,ハドソン,35217,スポーツ,7980,－,×
Jリーグエキサイトステージ'94,エポック社,34455,スポーツ,9800,－,×
Jリーグエキサイトステージ'95,エポック社,34817,スポーツ,9800,－,×
Jリーグエキサイトステージ'96,エポック社,35181,スポーツ,7980,－,×
Jリーグサッカー プライムゴール,ナムコ,34187,スポーツ,8500,－,×
Jリーグサッカー プライムゴール2,ナムコ,34551,スポーツ,8800,－,×
Jリーグサッカー プライムゴール3,ナムコ,34915,スポーツ,9800,－,×
Jリーグスーパーサッカー,ハドソン,34411,スポーツ,9500,－,×
Jリーグスーパーサッカー'95 実況スタジアム,ハドソン,34775,スポーツ,9980,－,×
ジェリーボーイ,エピック・ソニーレコード,33494,アクション,8500,－,×
紫炎 ザ・ブレイドチェイサー,ダイナミック企画,34432,アクション,9600,－,×
史記英雄伝,アウトリガー工房,34887,RPG,10800,－,×
ジグザグキャット,DEN'Z,34509,パズル,9500,－,×
ジグソーパーティ,ホリ電機,34537,パズル,8200,－,×
史上最強のクイズ王決定戦SUPER,ヨネザワ,33966,その他,8900,－,×
史上最強リーグ セリエA Ace Striker,TNN,34789,スポーツ,9980,－,×
四柱推命学入門 真桃源郷,バンプレスト,34964,その他,11800,－,×
実況おしゃべりパロディウス,コナミ,35048,シューティング,9980,－,×
実況競馬シミュレーション ステイブルスター,コナミ,35146,その他,11800,－,×
実況パワープロレスリング'96,コナミ,35321,スポーツ,7980,－,×
実況パワフルプロ野球'94,コナミ,34404,スポーツ,9000,－,×
実況パワフルプロ野球2,コナミ,34754,スポーツ,9980,－,×
実況パワフルプロ野球3,コナミ,35124,スポーツ,7500,－,×
実況パワフルプロ野球'96 開幕版,コナミ,35265,スポーツ,7500,－,×
実況パワフルプロ野球3 '97春,コナミ,35509,スポーツ,6800,－,×
実況パワフルプロ野球BASIC'98,コナミ,35873,スポーツ,5800,－,×
実況ワールドサッカー2 FIGHTING ELEVEN,コナミ,34964,スポーツ,9980,－,×
実況ワールドサッカー PERFECT ELEVEN,コナミ,34649,スポーツ,9980,－,×
実戦競艇,イマジニア,1995-06-23 00:00:00,その他,11800,廉価版：1996/12/20、\5980,×
実戦!バスフィッシング必勝法 IN USA,サミー,34936,スポーツ,9800,－,×
実戦パチスロ必勝法,サミー,34299,テーブル,9500,－,×
実戦パチスロ必勝法2,サミー,34593,テーブル,9980,－,×
実戦パチスロ必勝法クラシック,サミー,34887,テーブル,9500,－,×
実戦パチスロ必勝法!TWIN,サミー,35504,テーブル,5980,－,×
実戦パチスロ必勝法!Twin vol.2,サミー,35685,テーブル,5980,－,×
実戦パチスロ必勝法!山佐伝説,サミー,35160,テーブル,6900,－,×
実戦パチンコ必勝法!2,サミー,35132,テーブル,7800,－,×
実戦!麻雀指南,アスク講談社,34712,テーブル,9800,－,×
ジミーコナーズのプロテニスツアー,ミサワエンターテインメント,34271,スポーツ,8900,－,×
シミュレーションプロ野球,ヘクト,34817,スポーツ,12800,－,×
シムアース,イマジニア,33601,シミュレーション,9600,－,×
シムアント,イマジニア,34026,シミュレーション,12800,－,×
シムシティ2000,イマジニア,34845,シミュレーション,12800,－,×
シムシティー,任天堂,33354,シミュレーション,8000,－,×
シムシティJr.,イマジニア,35272,シミュレーション,8200,－,×
下野正希のFishing To Bassing,ナツメ,34623,スポーツ,9800,－,×
ジャスティス・リーグ,アクレイム ジャパン,34999,対戦格闘,11800,－,×
ジャッジ・ドレッド,アクレイム ジャパン,34999,アクション,10900,－,×
シャドウラン,データイースト,34418,アクションRPG,9800,－,×
ジャムズ,カロッツェリアジャパン,34740,パズル,7800,－,×
ジャングルウォーズ2,ポニーキャニオン,34047,RPG,9500,－,×
ジャングルストライク,エレクトロニック・アーツ・ビクター,34964,シューティング,9900,－,×
ジャングルの王者ターちゃん～世界漫遊大格闘の巻～,バンダイ,34595,アクション,8800,－,×
ジャングルブック,ヴァージンゲーム,34530,アクション,9800,－,×
上海III,サンソフト,1994-09-15 00:00:00,パズル,8900,廉価版：1997/7/25、\4900,×
上海 万里の長城,サンソフト,1995-11-17 00:00:00,パズル,9800,廉価版：1997/8/8、\4800,×
ジャンピンダービー,ナグザット,35181,その他,9800,－,×
ジャンボ尾崎のホールインワン,HAL研究所,33292,スポーツ,8900,－,×
雀遊記 悟空乱打,ヴァージンゲーム,34712,テーブル,8900,－,×
就職ゲーム,イマジニア,34908,シミュレーション,11800,－,×
重装機兵ヴァルケン,日本コンピュータシステム,33956,アクション,8800,－,×
樹帝戦紀,エニックス,34208,シミュレーション,9600,－,×
首都高バトル2,BPS,34754,レース,9800,－,×
ジュラシック・パーク,ジャレコ,34509,アクション,9800,－,×
将棋倶楽部,ヘクト,34754,テーブル,8800,－,×
将棋最強,魔法,34901,テーブル,14800,－,×
将棋最強II,魔法,35104,テーブル,10800,－,×
将棋三昧,ヴァージンインタラクティブエンターテインメント,35055,テーブル,9800,－,×
将棋 風林火山,ポニーキャニオン,34271,テーブル,8800,－,×
将棋・麻雀,バリエ,34789,その他,9800,－,×
常勝麻雀 天牌,エニックス,34971,テーブル,8900,－,×
商人よ、大志を抱け!!,バンダイ,35048,テーブル,9800,－,×
少年アシベ ゴマちゃんのゆうえんち大冒険,タカラ,33960,アクション,7800,－,×
少年忍者サスケ,サンソフト,34635,アクション,9800,－,×
JOE&MAC戦え原始人,データイースト,33578,アクション,8500,－,×
ジョジョの奇妙な冒険,コブラチーム,34033,RPG,9500,－,×
初代熱血硬派くにおくん,テクノスジャパン,33823,アクションRPG,8900,－,×
初段位認定 初段プロ麻雀,ギャップス,34817,テーブル,9800,－,×
初段 森田将棋,セタ,33473,テーブル,8800,－,×
シルヴァ・サーガII,セタ,34145,RPG,9800,－,×
白いリングへ,ポニーキャニオン,34999,スポーツ,9980,－,×
真・一攫千金,バップ,34887,その他,9800,－,×
新SD戦国伝 大将軍列伝,ベック,34810,シミュレーション,9800,－,×
新機動戦記ガンダムW,バンダイ,35153,対戦格闘,7500,－,×
シンジケート,エレクトロニック・アーツ・ビクター,34838,シミュレーション,9800,－,×
新・将棋倶楽部,ヘクト,34964,パズル,12800,－,×
真髄対局囲碁 碁仙人,J・ウイング,34852,テーブル,15500,－,×
新スタートレック,徳間書店,35020,アドベンチャー,9800,－,×
神聖紀オデッセリア,ビック東海,34138,RPG,9500,－,×
神聖紀オデッセリアII,ビック東海,34978,RPG,10800,－,×
信長公記,やのまん,33998,シミュレーション,12500,－,×
新日本プロレスリング公認'95闘強導夢BATTLE7,バリエ,34880,スポーツ,11800,－,×
新日本プロレスリング 超戦士 IN 闘強導夢,バリエ,34226,スポーツ,9800,－,×
新日本プロレスリング'94 バトルフィールド IN 闘強導夢,バリエ,34558,スポーツ,11800,－,×
新・熱血硬派 くにおたちの挽歌,テクノスジャパン,34453,アクション,9800,－,×
真・麻雀,コナミ,34423,テーブル,9000,－,×
真・女神転生,アトラス,33907,RPG,9800,－,×
真・女神転生II,アトラス,34411,RPG,9990,－,×
真・女神転生if…,アトラス,34635,RPG,9990,－,×
新 桃太郎伝説,ハドソン,34327,RPG,9800,－,×
ZOOっと麻雀!,任天堂,35977,テーブル,2000,ニンテンドーパワー専用,×
スーパーSWIV,ココナッツジャパンエンターテイメント,33921,シューティング,9500,－,×
スーパーR-TYPE,アイレム,33432,シューティング,8500,－,×
スーパー蒼き狼と白き牝鹿 元朝秘史,光栄,34053,シミュレーション,11800,－,×
スーパーアレスタ,東宝,33722,シューティング,8700,－,×
SUPER E.D.F.,ジャレコ,33536,シューティング,8700,－,×
スーパー囲碁 碁王,ナグザット,34432,テーブル,14800,－,×
スーパー伊忍道 打倒信長,光栄,33682,RPG,11800,－,×
スーパー インディ チャンプ,フォーラム,34425,レース,9200,－,×
スーパーヴァリアブル・ジオ,テイジイエル(TGL),34901,対戦格闘,9980,－,×
スーパーヴァリス 赤き月の乙女,レーザーソフト,33690,アクション,8500,－,×
スーパーUNO,トミー,34285,テーブル,8500,－,×
スーパーウルトラベースボール,カルチャーブレーン,33431,スポーツ,8800,－,×
スーパーウルトラベースボール2,カルチャーブレーン,34543,スポーツ,9800,－,×
スーパーエアダイバー,アスミック,34166,シミュレーション,8900,－,×
スーパーエアダイバー2,アスミック,34761,シューティング,9800,－,×
スーパーH.Q.クリミナルチェイサー,タイトー,34299,レース,8900,－,×
スーパーF-1サーカス,日本物産,33809,レース,8800,－,×
スーパーF1サーカス2,日本物産,34179,レース,9500,－,×
スーパーF1サーカス3,日本物産,34530,レース,9900,－,×
スーパーF1サーカス外伝,日本物産,34887,レース,9900,－,×
スーパーF-1サーカスリミテッド,日本物産,33900,レース,9200,－,×
スーパー大相撲熱戦大一番,ナムコ,33956,スポーツ,8800,－,×
スーパー億万長者ゲーム,タカラ,1995-11-24 00:00:00,テーブル,9800,廉価版：1997/8/8、\5980,×
スーパーオフロード,パック・イン・ビデオ,33788,レース,6900,－,×
スーパーカジノ シーザースパレス,ココナッツジャパンエンターテイメント,34263,その他,8900,－,×
スーパーカジノ2,ココナッツジャパンエンターテイメント,34635,その他,9800,－,×
スーパーカップサッカー,ジャレコ,33718,スポーツ,9000,－,×
スーパーキックオフ,ミサワエンターテインメント,33963,スポーツ,7700,－,×
スーパーキックボクシング,エレクトロ・ブレイン・ジャパン,34033,スポーツ,8800,－,×
スーパー・キャッスルズ,ビクターエンタテインメント,34690,シミュレーション,9800,－,×
スーパー究極ハリキリスタジアム,タイトー,34306,スポーツ,9500,－,×
スーパー究極ハリキリスタジアム2,タイトー,34558,スポーツ,9500,－,×
スーパー競走馬～風のシルフィード～,キングレコード,34250,その他,9300,－,×
スーパー競艇,日本物産,34880,その他,9500,－,×
スーパー競艇2,日本物産,35181,その他,8500,－,×
すーぱーぐっすんおよよ,バンプレスト,34922,パズル,9980,－,×
すーぱーぐっすんおよよ2,バンプレスト,35209,パズル,7800,－,×
スーパー競馬,アイマックス,34191,その他,9700,－,×
スーパー競馬2,アイマックス,34838,その他,11800,－,×
スーパー競輪,アイマックス,34894,その他,9800,－,×
超原人,ハドソン,34537,アクション,8800,－,×
超原人2,ハドソン,34908,アクション,8900,－,×
スーパー高校野球 一球入魂,アイマックス,34551,スポーツ,9800,－,×
超ゴジラ,東宝,34325,シミュレーション,9800,－,×
スーパー五目将棋,日本物産,34656,テーブル,9500,－,×
スーパー五目ならべ 連珠,ナグザット,34418,テーブル,8800,－,×
スーパー三國志,光栄,34558,シミュレーション,9800,－,×
スーパー三國志II,光栄,33496,シミュレーション,14800,－,×
スーパー・ジェームスポンドII,ビクターエンタテインメント,34173,アクション,8800,－,×
スーパー雀豪,ビクターエンタテインメント,34775,テーブル,9800,－,×
スーパー上海ドラゴンズアイ,ホット・ビィ,33722,パズル,7800,－,×
スーパー将棋,アイマックス,33774,テーブル,8800,－,×
スーパー将棋2,アイマックス,34502,テーブル,9800,－,×
スーパー将棋3～棋太平～,アイマックス,35062,テーブル,12800,－,×
スーパー人生ゲーム,タカラ,34411,テーブル,9800,－,×
スーパー人生ゲーム2,タカラ,34950,テーブル,9800,－,×
スーパー人生ゲーム3,タカラ,35398,テーブル,5980,－,×
スーパースコープ X ZONE,ケムコ,34208,スポーツ,6500,－,×
スーパースコープ スペースバズーカ,任天堂,34141,シューティング,6500,－,×
スーパースコープ デストラクティブ,バンダイ,34208,スポーツ,6800,－,×
スーパースコープ+スーパースコープ6,任天堂,34141,シューティング,9800,－,×
スーパースコープ ヨッシーのロードハンティング,任天堂,34164,シューティング,6500,－,×
スーパー・スター・ウォーズ,ビクターエンタテインメント,33956,アクション,8800,－,×
スーパー・スター・ウォーズ ジェダイの復讐,ビクターエンタテインメント,34873,アクション,10800,－,×
スーパー・スター・ウォーズ帝国の逆襲,ビクターエンタテインメント,34320,アクション,9800,－,×
スーパースタジアム,セタ,33421,スポーツ,8800,－,×
スーパーストリートファイターII,カプコン,34510,対戦格闘,10900,－,×
スーパースネーキー,四次元,34684,パズル,7800,－,×
スーパースラップショット,アルトロン,34201,スポーツ,8500,－,×
スーパー3Dベースボール,ジャレコ,34243,スポーツ,12800,－,×
スーパー倉庫番,パック・イン・ビデオ,1993-01-29 00:00:00,パズル,7800,廉価版：1996/11/29、\4980,×
スーパー大航海時代,光栄,33821,シミュレーション,11800,－,×
スーパーダブル役満,バップ,34425,テーブル,9000,－,×
スーパーダブル役満II,バップ,35503,テーブル,7500,－,×
スーパータリカン,トンキンハウス,34215,アクション,7500,－,×
スーパーダンクショット,HAL研究所,33774,スポーツ,8600,－,×
スーパーダンクスター,サミー,34087,スポーツ,7900,－,×
スーパーチャイニーズファイター,カルチャーブレーン,34702,対戦格闘,9800,－,×
スーパーチャイニーズワールド,カルチャーブレーン,33600,アクションRPG,8800,－,×
スーパーチャイニーズワールド2,カルチャーブレーン,34271,アクションRPG,9800,－,×
スーパーチャイニーズワールド3,カルチャーブレーン,35055,アクションRPG,9800,－,×
スーパーヅガン～ハコテン城からの招待状～,エレクトロニック・アーツ・ビクター,34376,テーブル,8800,－,×
スーパーヅガン2 ツカンポファイター,J・ウイング,34698,テーブル,9980,－,×
スーパー詰将棋1000,ボトムアップ,34684,テーブル,9800,－,×
スーパー鉄球ファイト!,バンプレスト,34957,アクション,9000,－,×
スーパーテトリス2+ボンブリス,BPS,33956,パズル,8500,－,×
スーパーテトリス2+ボンブリス 限定版,BPS,34355,パズル,8500,－,×
スーパーテトリス3,BPS,34684,パズル,8500,－,×
スーパーテニス ワールドサーキット,トンキンハウス,33480,スポーツ,7800,－,×
スーパードッグファイト,パック・イン・ビデオ,34509,シューティング,9800,－,×
スーパードラッケン,ケムコ,34572,アクション,9800,－,×
スーパートランプコレクション,ボトムアップ,1995-04-21 00:00:00,テーブル,8900,廉価版：1995/12/8、\6900,×
スーパートランプコレクション2,ボトムアップ,35265,テーブル,5800,－,×
スーパードリフトアウト,ビスコ,34754,レース,9980,－,×
スーパートロールアイランド,ケムコ,34418,アクション,8900,－,×
スーパードンキーコング,任天堂,34664,アクション,9800,－,×
スーパードンキーコング2,任天堂,35024,アクション,9800,－,×
スーパードンキーコング3 謎のクレミス島,任天堂,35392,アクション,6800,－,×
スーパーナグザットオープン,ナグザット,34411,スポーツ,9500,－,×
す～ぱ～なぞぷよ通 ルルーの鉄腕繁盛記,コンパイル,35244,パズル,9800,－,×
す～ぱ～なぞぷよ ルルーのルー,バンプレスト,34845,パズル,9200,－,×
スーパーニチブツマージャン,日本物産,33956,テーブル,8800,－,×
スーパーニチブツマージャン2 全国制覇篇,日本物産,34271,テーブル,9800,－,×
スーパーニチブツマージャン3 吉本劇場篇,日本物産,34544,テーブル,10800,－,×
スーパーニチブツマージャン4基礎研究編,日本物産,35335,テーブル,7500,－,×
すーぱー忍者くん,ジャレコ,34551,アクション,7900,－,×
スーパー信長の野望・全国版,光栄,34186,シミュレーション,8800,－,×
スーパー信長の野望・武将風雲録,光栄,33593,シミュレーション,11800,－,×
スーパーバーディ・ラッシュ,データイースト,33669,スポーツ,8800,－,×
スーパーハイインパクト,アクレイム ジャパン,34159,スポーツ,8800,－,×
スーパー馬券王'95,テイチク,34782,その他,9980,－,×
スーパーパチスロマージャン,日本物産,34452,テーブル,9500,－,×
スーパーパチンコ,アイマックス,34544,テーブル,9800,－,×
スーパーパチンコ大戦,バンプレスト,34817,テーブル,6900,－,×
スーパーバック・トゥ・ザ・フューチャー2,東芝EMI,34173,アクション,9000,－,×
スーパーバトルタンク,パック・イン・ビデオ,34082,アクション,7800,－,×
スーパーバトルタンク2,パック・イン・ビデオ,34481,シューティング,9800,－,×
スーパー花札,アイマックス,34551,テーブル,8800,－,×
スーパー花札2,アイマックス,34992,テーブル,9800,－,×
スーパーバレーII,ビデオシステム,33963,スポーツ,8900,－,×
スーパーパワーリーグ,ハドソン,34187,スポーツ,9500,－,×
スーパーパワーリーグ2,ハドソン,34549,スポーツ,9800,－,×
スーパーパワーリーグ3,ハドソン,34921,スポーツ,9980,－,×
スーパーパワーリーグ4,ハドソン,35286,スポーツ,7980,－,×
スーパーパン,カプコン,33823,アクション,7500,－,×
スーパーパンチアウト!!,任天堂,35855,スポーツ,2000,ニンテンドーパワー専用,×
スーパービックリマン,ベック,33998,アクション,7800,－,×
スーパービリヤード,イマジニア,34509,テーブル,9800,－,×
スーパーピンボール～ビハインド ザ マスク～,メルダック,34342,テーブル,9800,－,×
スーパーピンボール2～ザ・アメージングオデッセイ,メルダック,34775,テーブル,9800,－,×
スーパーファイナルマッチテニス,ヒューマン,34558,スポーツ,8900,－,×
スーパーファイヤープロレスリング,ヒューマン,33592,スポーツ,8500,－,×
スーパーファイヤープロレスリング2,ヒューマン,33963,スポーツ,8500,－,×
スーパーファイヤープロレスリング3 ファイナルバウト,ヒューマン,34332,スポーツ,9700,－,×
スーパーファイヤープロレスリング3～イージータイプ～,ヒューマン,34369,スポーツ,7900,－,×
スーパーファイヤープロレスリングX,ヒューマン,35055,スポーツ,11900,－,×
スーパーファイヤープロレスリングX プレミアム,ヒューマン,35153,スポーツ,8000,－,×
スーパーファイヤープロレスリング クイーンズスペシャル,ヒューマン,34880,スポーツ,11400,－,×
スーパーファイヤープロレスリング スペシャル,ヒューマン,34690,スポーツ,11500,－,×
スーパーファミコンウォーズ,任天堂,35916,シミュレーション,2000,ニンテンドーパワー専用,×
スーパーファミスタ,ナムコ,33690,スポーツ,7900,－,×
スーパーファミスタ2,ナムコ,34040,スポーツ,7900,－,×
スーパーファミスタ3,ナムコ,34397,スポーツ,8800,－,×
スーパーファミスタ4,ナムコ,34761,スポーツ,9500,－,×
スーパーファミスタ5,ナムコ,35124,スポーツ,6980,－,×
スーパーファミリーゲレンデ,ナムコ,35827,スポーツ,2000,ニンテンドーパワー専用,×
スーパーファミリーサーキット,ナムコ,34628,レース,8800,－,×
スーパーファミリーテニス,ナムコ,34145,スポーツ,7900,－,×
スーパーフィッシング ビッグファイト,ナグザット,34684,スポーツ,9800,－,×
スーパーフォーメーションサッカー,ヒューマン,33585,スポーツ,7700,－,×
スーパーフォーメーションサッカー2,ヒューマン,34131,スポーツ,8500,－,×
スーパーフォーメーションサッカー'94,ヒューマン,34502,スポーツ,9800,－,×
スーパーフォーメーションサッカー'94～ワールドカップファイナルデータ～,ヒューマン,34599,スポーツ,9800,－,×
スーパーフォーメーションサッカー'95 della セリエA,ヒューマン,34789,スポーツ,9980,－,×
スーパーフォーメーションサッカー'96,ヒューマン,35153,スポーツ,7500,－,×
す～ぱ～ぷよぷよ,バンプレスト,34313,パズル,8200,－,×
す～ぱ～ぷよぷよ通,コンパイル,35041,パズル,8800,－,×
す～ぱ～ぷよぷよ通 リミックス,コンパイル,35132,パズル,6800,－,×
スーパーブラックバス,ホット・ビィ,33942,スポーツ,9800,－,×
スーパーブラックバス2,スターフィッシュデータ,34600,スポーツ,9800,－,×
スーパーブラックバス3,スターフィッシュデータ,35048,スポーツ,11800,－,×
スーパープロフェッショナルベースボール,ジャレコ,33375,スポーツ,8700,－,×
スーパープロフェッショナルベースボールII,ジャレコ,33823,スポーツ,9000,－,×
スーパーボウリング,アテナ,33788,スポーツ,8300,－,×
スーパーホッケー'94,ヨネザワ,34418,スポーツ,8900,－,×
スーパーボンバーマン,ハドソン,34087,アクション,7800,－,×
スーパーボンバーマン2,ハドソン,34452,アクション,8500,－,×
スーパーボンバーマン3,ハドソン,34817,アクション,8900,－,×
スーパーボンバーマン4,ハドソン,35181,アクション,7777,－,×
スーパーボンバーマン5,ハドソン,35489,アクション,6980,－,×
スーパーボンバーマン ぱにっくボンバーW,ハドソン,34759,パズル,8900,－,×
スーパーボンブリス,BPS,34775,パズル,7500,－,×
スーパー本命 GI制覇,日本物産,34393,その他,9800,－,×
スーパー麻雀,アイマックス,33838,テーブル,8000,－,×
スーパー麻雀2 本格4人打ち,アイマックス,34305,テーブル,8800,－,×
スーパー麻雀3 辛口,アイマックス,34663,テーブル,9800,－,×
スーパー麻雀大会,光栄,33859,テーブル,9800,－,×
スーパーマッドチャンプ,ツクダオリジナル,34762,レース,10080,－,×
スーパーマリオRPG,任天堂,35133,RPG,7500,－,×
スーパーマリオカート,任天堂,33843,レース,8900,－,×
スーパーマリオコレクション,任天堂,34164,アクション,9800,－,×
スーパーマリオ ヨッシーアイランド,任天堂,34916,アクション,9800,－,×
スーパーマリオワールド,任天堂,33198,アクション,8000,－,×
スーパーメトロイド,任天堂,34412,アクション,9800,－,×
スーパー燃えろ!! プロ野球,ジャレコ,34691,スポーツ,9800,－,×
スーパー桃太郎電鉄II,ハドソン,33823,テーブル,8800,－,×
スーパー桃太郎電鉄III,ハドソン,34677,テーブル,9500,－,×
スーパー桃太郎電鉄DX,ハドソン,35041,テーブル,9500,－,×
スーパー野球道,バンプレスト,35090,スポーツ,12800,－,×
スーパー4WD THE BAJA,日本物産,34502,レース,8800,－,×
スーパーラグビー,トンキンハウス,34628,スポーツ,9000,－,×
スーパーリアル麻雀PIV,セタ,34418,テーブル,9800,－,×
スーパーリアル麻雀PVパラダイス オールスター4人打ち,セタ,34810,テーブル,9800,－,×
スーパーリニアボール,ヒロ,33914,アクション,8000,－,×
スーパーループス,イマジニア,34397,パズル,8900,－,×
スーパーレッスルエンジェルス,イマジニア,34684,スポーツ,9980,－,×
スーパーロイヤルブラッド,光栄,33899,シミュレーション,9800,－,×
スーパーロボット大戦EX,バンプレスト,34418,シミュレーション,9800,－,×
スーパーロボット大戦外伝 魔装機神,バンプレスト,35146,シミュレーション,7800,－,×
スーパーワギャンランド,ナムコ,33585,アクション,8300,－,×
スーパーワギャンランド2,ナムコ,34053,アクション,8300,－,×
スーファミターボ専用 SDウルトラバトル ウルトラマン伝説,バンダイ,35244,対戦格闘,3980,スーファミターボ同梱版：\6800,×
スーファミターボ専用 SDウルトラバトル セブン伝説,バンダイ,35244,対戦格闘,3980,－,×
スーファミターボ専用 SDガンダムジェネレーション アクシズ戦記,バンダイ,35300,シミュレーション,3980,－,×
スーファミターボ専用 SDガンダムジェネレーション 一年戦争記,バンダイ,35272,シミュレーション,3980,スーファミターボ同梱版：\6800,×
スーファミターボ専用 SDガンダムジェネレーション グリプス戦記,バンダイ,35272,シミュレーション,3980,－,×
スーファミターボ専用 SDガンダムジェネレーション コロニー格闘記,バンダイ,35335,シミュレーション,3980,－,×
スーファミターボ専用 SDガンダムジェネレーション ザンスカール戦記,バンダイ,35335,シミュレーション,3980,－,×
スーファミターボ専用 SDガンダムジェネレーション バビロニア建国戦記,バンダイ,35300,シミュレーション,3980,－,×
スーファミターボ専用 クレヨンしんちゃん 長ぐつドボン,バンダイ,35335,パズル,3980,－,×
スーファミターボ専用 激走戦隊カーレンジャー 全開!レーサー戦士,バンダイ,35300,アクション,3980,－,×
スーファミターボ専用 ゲゲゲの鬼太郎 妖怪ドンジャラ,バンダイ,35265,テーブル,3980,スーファミターボ同梱版：\6800,×
スーファミターボ専用 美少女戦士セーラームーン セーラースターズ ふわふわパニック2,バンダイ,35335,パズル,3980,スーファミターボ同梱版：\6800,×
スーファミターボ専用 ぽいぽい忍者ワールド,バンダイ,35244,アクション,3980,スーファミターボ同梱版：\6800,×
ズールのゆめぼうけん,インフォコム,34544,アクション,8800,－,×
スカイミッション,ナムコ,33876,シミュレーション,8300,－,×
スキーパラダイスWITHスノーボード,パック・イン・ビデオ,34684,スポーツ,8900,－,×
すごいへべれけ,サンソフト,34404,対戦格闘,8900,－,×
