タイトル,メーカー,発売日,ジャンル,価格,備考,所持
POWERロードランナー,任天堂,36161,パズル,2000,ニンテンドーパワー専用,×
半熟英雄 ああ、世界よ半熟なれ,スクウェア,33957,シミュレーション,9500,－,×
反省ザルジローくんの大冒険,ナツメ,33599,アクション,7000,－,×
PGAツアーゴルフ,イマジニア,33788,スポーツ,8500,－,×
Pマン,ケムコ,34873,アクション,9200,－,×
ヒーロー戦記,バンプレスト,33928,RPG,9600,－,×
緋王伝～魔物達との誓い～,ウルフ・チーム,34376,シミュレーション,11800,－,×
東尾修監修 スーパープロ野球スタジアム,徳間書店インターメディア,34242,スポーツ,8900,－,×
ピキーニャ!,アスキー,35461,パズル,6800,－,×
ピクロスNP Vol.1,任天堂,36251,パズル,2000,ニンテンドーパワー専用,×
ピクロスNP Vol.2,任天堂,36312,パズル,2000,ニンテンドーパワー専用,×
ピクロスNP Vol.3,任天堂,36373,パズル,2000,ニンテンドーパワー専用,×
ピクロスNP Vol.4,任天堂,36434,パズル,2000,ニンテンドーパワー専用,×
ピクロスNP Vol.5,任天堂,36495,パズル,2000,ニンテンドーパワー専用,×
ピクロスNP Vol.6,任天堂,36557,パズル,2000,ニンテンドーパワー専用,×
ピクロスNP Vol.7,任天堂,36617,パズル,2000,ニンテンドーパワー専用,×
ピクロスNP Vol.8,任天堂,36678,パズル,2000,ニンテンドーパワー専用,×
美少女雀士スーチーパイ,ジャレコ,34180,テーブル,9700,－,×
美少女戦士セーラームーン,エンジェル,34208,アクション,9800,－,×
美少女戦士セーラームーンR,バンダイ,34332,アクション,9800,－,×
美少女戦士セーラームーン～Another Story～,エンジェル,34964,RPG,11800,－,×
美少女戦士セーラームーンS くるっくりん,バンダイ,34754,パズル,6800,－,×
美少女戦士セーラームーンS こんどはパズルでおしおきよ!,バンダイ,34530,パズル,6800,－,×
美少女戦士セーラームーンS～場外乱闘!? 主役争奪戦～,エンジェル,34684,アクション,9980,－,×
美少女戦士セーラームーンSuperS～全員参加!! 主役争奪戦～,エンジェル,35153,対戦格闘,7980,－,×
美少女戦士セーラームーンSuperS ふわふわパニック,バンダイ,35041,パズル,7980,－,×
美少女レスラー列伝,KSS,35153,スポーツ,8000,－,×
美女と野獣,ハドソン,34523,アクション,8500,－,×
美神伝説Zoku,マジファクト,34328,アクション,9800,－,×
ビッグ一撃!パチスロ大攻略,アスク講談社,34684,テーブル,9800,－,×
ビッグ一撃 パチスロ大攻略2～ユニバーサル・コレクション～,アスク講談社,34901,テーブル,10800,－,×
BIG HURTベースボール,アクレイム ジャパン,35034,スポーツ,11800,－,×
BIG RUN,ジャレコ,33317,レース,8700,－,×
必殺パチンココレクション,サンソフト,34628,テーブル,9800,－,×
必殺パチンココレクション2,サンソフト,34782,テーブル,9980,－,×
必殺パチンココレクション3,サンソフト,35005,テーブル,9980,－,×
必殺パチンココレクション4,サンソフト,35307,テーブル,9980,－,×
必勝777ファイター,バップ,34348,テーブル,9500,－,×
必勝777ファイターII パチスロマル秘情報,バップ,34565,テーブル,9500,－,×
必勝777ファイターIII,バップ,34957,テーブル,10800,－,×
必勝!パチスロファン,POW,34684,テーブル,9800,－,×
ピットフォール マヤの大冒険,ポニーキャニオン,34894,アクション,9800,－,×
ピノキオ,カプコン,35419,アクション,7500,－,×
ヒューマン・グランプリ,ヒューマン,33928,レース,9700,－,×
ヒューマングランプリ2,ヒューマン,34327,レース,9500,－,×
ヒューマングランプリ3～F1トリプルバトル～,ヒューマン,34607,レース,10500,－,×
ヒューマングランプリ4 F1ドリームバトル,ヒューマン,34936,レース,11400,－,×
ヒューマンベースボール,ヒューマン,34187,スポーツ,8600,－,×
飛龍の拳Sゴールデンファイター,カルチャーブレーン,33816,対戦格闘,9700,－,×
飛龍の拳Sゴールデンファイター ハイパーバージョン,カルチャーブレーン,33949,対戦格闘,9700,－,×
ピンクパンサー,アルトロン,34439,アクション,9500,－,×
ビンビン!ビンゴ,KSS,34325,その他,8900,－,×
ピンボール ピンボール,ココナッツジャパンエンターテイメント,34551,テーブル,9980,－,×
ファーストクィーン,カルチャーブレーン,34404,RPG,9800,－,×
ファーストサムライ,ケムコ,34152,アクション,7800,－,×
ファーランドストーリー,バンプレスト,34754,シミュレーション,10800,－,×
ファーランドストーリー2,バンプレスト,35055,シミュレーション,12800,－,×
ファイアーエムブレム 聖戦の系譜,任天堂,35199,シミュレーション,7500,－,×
ファイアーエムブレム トラキア776,任天堂,36546,シミュレーション,5200,－,×
ファイアーエムブレム 紋章の謎,任天堂,34355,シミュレーション,9800,－,×
ファイターズヒストリー,データイースト,34481,対戦格闘,9800,－,×
ファイターズヒストリー～溝口危機一髪～,データイースト,34747,対戦格闘,9900,－,×
ファイティングベースボール,ココナッツジャパンエンターテイメント,34922,スポーツ,9400,－,×
ファイナル・ストレッチ,ロジーク,34285,レース,9800,－,×
ファイナルセット,フォーラム,34229,スポーツ,8500,－,×
ファイナルノックアウト,パック・イン・ビデオ,34278,スポーツ,8800,－,×
ファイナルファイト,カプコン,33228,アクション,8500,－,×
ファイナルファイト・ガイ,カプコン,33683,アクション,8500,－,×
ファイナルファイト2,カプコン,34111,アクション,9000,－,×
ファイナルファイト タフ,カプコン,35055,アクション,9980,－,×
ファイナルファンタジーIV,スクウェア,33438,RPG,8800,－,×
ファイナルファンタジーIV イージータイプ,スクウェア,33540,RPG,9000,－,×
ファイナルファンタジーV,スクウェア,33944,RPG,9800,－,×
ファイナルファンタジーVI,スクウェア,34426,RPG,11400,－,×
ファイプロ女子オールスタードリームスラム,ヒューマン,34537,スポーツ,9500,－,×
ファイヤー・ファイティング,ジャレコ,34649,アクション,9890,－,×
ファミコン探偵倶楽部PARTII うしろに立つ少女,任天堂,35886,アドベンチャー,2000,ニンテンドーパワー専用,×
ファミコン文庫 はじまりの森,任天堂,36342,アドベンチャー,2000,ニンテンドーパワー専用,×
ファランクス,ケムコ,33823,シューティング,8900,－,×
VS.コレクション,ボトムアップ,35398,その他,6980,－,×
フィッシング甲子園,キングレコード,35216,スポーツ,9800,－,×
FIFA インターナショナル・サッカー,ビクターエンタテインメント,34502,スポーツ,9800,－,×
フェーダ エンブレム オブ ジャスティス,やのまん,34635,シミュレーション,9990,－,×
フォアマン フォー リアル,アクレイム ジャパン,34999,スポーツ,11800,－,×
フォーチュン・クエスト～ダイスをころがせ!,バンプレスト、ザムス,34452,テーブル,9800,－,×
不思議のダンジョン2 風来のシレン,チュンソフト,35034,RPG,11800,－,×
BUSHI 青龍伝～二人の勇者～,T&Eソフト,35447,アクションRPG,7980,－,×
HOOK,エピック・ソニーレコード,33802,アクション,8500,－,×
復刻版 スーパー三國志II,光栄,34788,シミュレーション,9800,－,×
復刻版 提督の決断,光栄,34880,シミュレーション,9800,－,×
船木誠勝HYBRID WRESTLER 闘技伝承,テクノスジャパン,34628,スポーツ,9800,－,×
ふね太郎,ビクターインタラクティブソフトウェア(パック・イン・ソフト),35643,スポーツ,7800,－,×
新世紀GPX サイバーフォーミュラ,タカラ,33682,レース,8800,－,×
BURAI八玉の勇士伝説,アイ・ジー・エス,33983,RPG,9800,－,×
フライング ヒーロー,ソフエル,33956,シューティング,8800,－,×
ブラックソーン,ケムコ,34922,アクション,9400,－,×
フラッシュバック,サンソフト,34325,アクション,9600,－,×
プラネットチャンプ　TG3000,ケムコ,34817,レース,9500,－,×
ブランディッシュ,光栄,34510,アクションRPG,10800,－,×
ブランディッシュ2,光栄,34922,アクションRPG,10800,－,×
ブランディッシュ2 エキスパート,光栄,35139,アクションRPG,8800,－,×
プリンス・オブ・ペルシャ,日本コンピュータシステム,33788,アクション,8800,－,×
プリンセス・ミネルバ,ビック東海,34873,RPG,9900,－,×
プリンセスメーカー～Legend of Another World～,タカラ,35048,シミュレーション,9980,－,×
ブルースブラザース,ケムコ,34054,アクション,7800,－,×
古田敦也のシミュレーションプロ野球2,ヘクト,35301,スポーツ,8000,－,×
フルパワー,ココナッツジャパンエンターテイメント,34684,レース,11000,－,×
ブレイゾン,アトラス,33809,シューティング,8500,－,×
ブレインロード,エニックス,34362,アクションRPG,9600,－,×
ブレス オブ ファイア,カプコン,34062,RPG,9800,－,×
ブレス オブ ファイアII,カプコン,34670,RPG,9980,－,×
プロ棋士人生シミュレーション 将棋の花道,アトラス,35111,テーブル,12800,－,×
プロサッカー,イマジニア,33501,スポーツ,8000,－,×
プロック,アクティビジョンジャパン,34313,アクション,8900,－,×
ブロックくずし,POW,35020,アクション,5980,－,×
プロフットボール,イマジニア,33620,スポーツ,7900,－,×
プロフットボール'93,エレクトロニック・アーツ・ビクター,34012,スポーツ,8900,－,×
プロ麻雀 極,アテナ,34131,テーブル,9600,－,×
プロ麻雀 極II,アテナ,34537,テーブル,9800,－,×
プロ麻雀 極III,アテナ,34880,テーブル,9800,－,×
プロ麻雀 兵,カルチャーブレーン,35538,テーブル,6980,－,×
プロ野球スター,カルチャーブレーン,35447,スポーツ,6800,－,×
プロ野球熱闘ぱずるスタジアム,ココナッツジャパンエンターテイメント,35545,パズル,7800,－,×
フロントミッション,スクウェア,34754,シミュレーション,11400,－,×
平安風雲伝,KSS,34971,シミュレーション,11800,－,×
平成イヌ物語バウ ポップンスマッシュ!!,タカラ,34452,スポーツ,7800,－,×
平成軍人将棋,カロッツェリアジャパン,35090,テーブル,9800,－,×
平成 新・鬼ヶ島 前編,任天堂,35938,アドベンチャー,3800,－,×
平成 新・鬼ヶ島 後編,任天堂,35938,アドベンチャー,3800,－,×
HEIWA Parlor!Mini8 パチンコ実機シミュレーションゲーム,日本テレネット,35825,テーブル,5200,－,×
HEIWAパチンコワールド,ショウエイシステム,34754,テーブル,9900,－,×
HEIWAパチンコワールド2,ショウエイシステム,34971,テーブル,10800,－,×
HEIWA パチンコワールド3,ショウエイシステム,35181,テーブル,7800,－,×
ベストショットプロゴルフ,アスキー,35230,シミュレーション,8200,－,×
ペブルビーチの波濤,T&Eソフト,33704,スポーツ,9800,－,×
ペブルビーチの波濤New～トーナメントエディション～,T&Eソフト,35321,スポーツ,8000,－,×
へべれけのおいしいパズルはいりませんか,サンソフト,34577,パズル,8900,－,×
へべれけのぽぷーん,サンソフト,34325,パズル,8200,－,×
ヘラクレスの栄光III 神々の沈黙,データイースト,33718,RPG,8800,－,×
ヘラクレスの栄光IV 神々からの贈り物,データイースト,34628,RPG,9900,－,×
弁慶外伝 沙の章,サンソフト,33949,RPG,9600,－,×
放課後 in Beppin 女学院,イマジニア,34733,シミュレーション,9980,－,×
蓬莱学園の冒険!,J・ウイング,35174,RPG,7980,－,×
ホーム・アローン,アルトロン,33827,アクション,8800,－,×
ホーリーアンブレラ,ナグザット,34971,アクションRPG,9800,－,×
ホーリーストライカー,ヘクト,34320,テーブル,8800,－,×
B.B.GUN,アイマックス,35034,シミュレーション,11800,－,×
牧場物語,パック・イン・ビデオ,35286,シミュレーション,7800,－,×
北斗の拳5,東映動画,33795,RPG,8900,－,×
北斗の拳6 激闘伝承拳覇王への道,東映動画,33928,対戦格闘,8900,－,×
北斗の拳7,東映動画,34327,対戦格闘,9700,－,×
ポコニャン!,東宝,34690,アクション,8800,－,×
星のカービィ3,任天堂,35881,アクション,4800,－,×
星のカービィ スーパーデラックス,任天堂,35145,アクション,7500,－,×
ぽっぷるメイル,日本ファルコム,34495,アクション,8800,－,×
Pop'nツインビー,コナミ,34054,シューティング,8900,－,×
炎の闘球児ドッジ弾平,サンソフト,33816,スポーツ,8500,－,×
ポパイ いじわる魔女シーハッグの巻,テクノスジャパン,34558,テーブル,9500,－,×
ポピュラス,イマジニア,33223,シミュレーション,8800,－,×
ポピュラス2,イマジニア,33991,シミュレーション,9800,－,×
ポポイっとへべれけ,サンソフト,34908,パズル,8900,－,×
ボンカーズ-ハリウッド大作戦!-,カプコン,34702,アクション,8500,－,×
本格将棋 風雲児龍王,ヴァージンゲーム,34690,テーブル,9800,－,×
本格派囲碁 碁聖,タイトー,34635,テーブル,14800,－,×
本格麻雀 徹萬,ナグザット,34236,テーブル,7800,－,×
本格麻雀 徹萬II,ナグザット,34628,テーブル,8900,－,×
本家・SANKYO FEVER 実機シミュレーション,DEN'Z,34860,テーブル,10800,－,×
本家・SANKYO FEVER 実機シミュレーション2,BOSSコミュニケーションズ,35048,テーブル,10800,－,×
本家SANKYO FEVER 実機シミュレーション3,BOSSコミュニケーションズ,35307,テーブル,7480,－,×
本家 花札,イマジニア,34599,テーブル,9800,－,×
ボンバーマンビーダマン,ハドソン,35419,シューティング,5980,－,×
ボンバザル,ケムコ,33208,パズル,6500,－,×
マーヴェラス～もうひとつの宝島～,任天堂,35364,アドベンチャー,6800,－,×
マーヴルスーパーヒーローズ ウォーオブザジェム,カプコン,35356,アクション,7800,－,×
麻雀倶楽部,ヘクト,34690,テーブル,4980,－,×
麻雀悟空 天竺,シャノアール,34565,テーブル,9800,－,×
麻雀戦国物語,四次元,34600,テーブル,9300,－,×
麻雀大会II,光栄,34607,テーブル,9800,－,×
麻雀繁盛記,日本物産,34908,テーブル,6800,－,×
麻雀飛翔伝 哭きの竜,アイ・ジー・エス,33963,テーブル,9800,－,×
麻雀飛翔伝 真 哭きの竜,ベック,34999,テーブル,8900,－,×
マイケル・アンドレッティ インディカーチャレンジ,BPS,34719,レース,9800,－,×
マイティモーフィン パワーレンジャー,バンダイ,35027,アクション,9800,－,×
マイト・アンド・マジックBOOK2,ロジーク,33991,RPG,8800,－,×
摩訶摩訶,シグマ商事,33718,RPG,8700,－,×
マグナブラバン～遍歴の勇者～,アスク講談社,34656,RPG,9800,－,×
負けるな!魔剣道,データム・ポリスター,33991,アクション,8800,－,×
負けるな!魔剣道2,データム・ポリスター,34775,対戦格闘,9500,－,×
MOTHER2 ギーグの逆襲,任天堂,34573,RPG,9800,－,×
まじかる☆タルるートくん　MAGIC ADVENTURE,バンダイ,33691,アクション,8000,－,×
マジカルドロップ,データイースト,34992,パズル,8500,－,×
マジカルドロップ2,データイースト,35328,パズル,7800,－,×
マジカルポップン,パック・イン・ビデオ,34768,アクション,9800,－,×
マジックジョンソンのスーパースラムダンク,ヴァージンゲーム,34166,スポーツ,8900,－,×
マジックソード,カプコン,33753,アクション,8500,－,×
魔法騎士レイアース,トミー,34971,RPG,9800,－,×
魔獣王,KSS,34936,アクション,10800,－,×
魔女たちの眠り,パック・イン・ビデオ,35027,アドベンチャー,10800,－,×
マジンガーZ,バンダイ,34145,アクション,8800,－,×
魔神転生,アトラス,34362,シミュレーション,9800,－,×
魔神転生II,アトラス,34749,シミュレーション,10800,－,×
マスク,ヴァージンインタラクティブエンターテインメント,35426,アクション,9800,－,×
マスターズ～遙かなるオーガスタ2～,T&Eソフト,34234,スポーツ,9900,－,×
MASTERS New 遙かなるオーガスタ3,T&Eソフト,35041,スポーツ,11800,－,×
摩陀羅2,コナミ,34166,RPG,9800,－,×
MADARA SAGA 幼稚園戦記まだら,データム・ポリスター,35090,RPG,9800,－,×
松方弘樹のスーパートローリング,トンキンハウス,34936,スポーツ,9900,－,×
マッスルボマー,カプコン,34423,スポーツ,9980,－,×
松村邦洋伝 最強の歴史をぬりかえろ!,ショウエイシステム,34572,対戦格闘,9900,－,×
魔天伝説,タカラ,34999,RPG,10800,－,×
魔導物語～はなまる大幼稚園児～,徳間書店インターメディア,35076,RPG,9900,－,×
魔法陣グルグル,エニックス,34810,RPG,10800,－,×
魔法陣グルグル2,エニックス,35167,RPG,8000,－,×
魔法ぽいぽい ぽいっと!,タカラ,34551,パズル,8800,－,×
ママレード・ボーイ,バンダイ,34810,シミュレーション,9800,－,×
マリオとワリオ,任天堂,34208,アクション,6800,－,×
マリオのスーパーピクロス,任天堂,34956,パズル,7900,－,×
マリオペイント,任天堂,33799,その他,9800,－,×
マルチプレイバレーボール,パック・イン・ビデオ,34635,スポーツ,8900,－,×
水木しげるの妖怪百鬼夜行,KSS,35053,テーブル,11800,－,×
Mr.Do!,イマジニア,34873,アクション,5980,－,×
MR.NUTZ,ソフエル,34614,アクション,8800,－,×
ミスティックアーク,エニックス,34894,RPG,11800,－,×
ミスティッククエスト,スクウェア,34222,RPG,7900,－,×
ミステリーサークル,ケイ・アミューズメントリース,33942,パズル,8300,－,×
ミッキーのマジカルアドベンチャー,カプコン,33928,アクション,8500,－,×
ミッキーの東京ディズニーランド大冒険,トミー,34684,アクション,9800,－,×
ミッキーとミニー マジカルアドベンチャー2,カプコン,34649,アクション,9500,－,×
ミッキーとドナルド マジカルアドベンチャー3,カプコン,35041,アクション,9800,－,×
ミッキーマニア,カプコン,34789,アクション,9500,－,×
ミニ四駆 シャイニングスコーピオン レッツ&ゴー!!,アスキー,35419,シミュレーション,8800,－,×
ミニ四駆レッツ&ゴー!! POWER WGP2,任天堂,36133,RPG,3800,－,×
宮路社長のパチンコファン勝利宣言2,POW,34810,テーブル,9800,－,×
ミラクル☆ガールズ,タカラ,34264,アクション,8800,－,×
みらくるカジノパラダイス,カロッツェリアジャパン,34726,テーブル,9800,－,×
ミランドラ,アスキー,35461,RPG,7800,－,×
ミリティア,ナムコ,34656,シミュレーション,8800,－,×
無人島物語,KSS,35090,シミュレーション,12800,－,×
メガロマニア 時空大戦略,イマジニア,34173,シミュレーション,12800,－,×
メジャータイトル,アイレム,33942,スポーツ,8800,－,×
メタルスレイダーグローリー ディレクターズカット,任天堂,36859,アドベンチャー,5780,－,×
メタルマックス2,データイースト,34033,RPG,9500,－,×
メタルマックスリターンズ,データイースト,34971,RPG,12800,－,×
メルファンドストーリーズ,アスキー,34418,アクション,9800,－,×
メルヘンアドベンチャー コットン100%,データム・ポリスター,34446,シューティング,9300,－,×
モータルコンバット,アクレイム ジャパン,34327,対戦格闘,9800,－,×
モータルコンバットII 究極神拳,アクレイム ジャパン,34649,対戦格闘,11800,－,×
もってけ Oh!ドロボー,データイースト,35048,テーブル,9800,－,×
モノポリー,トミー,34033,テーブル,9700,－,×
桃太郎電鉄HAPPY,ハドソン,35405,テーブル,8300,－,×
モンスターメーカー3,ソフエル,34327,RPG,9800,－,×
モンスターメーカーキッズ 王様になりたい,ソフエル,34656,テーブル,9200,－,×
モンスタニア,パック・イン・ビデオ,35335,シミュレーション,7800,－,×
夜光虫,アテナ,34866,アドベンチャー,10800,－,×
ヤダモン ワンダランドドリーム,徳間書店,34299,アドベンチャー,8800,－,×
ヤマトタケル,東宝,34971,RPG,10800,－,×
やまねこバブジーの大冒険,パック・イン・ビデオ,34502,アクション,9800,－,×
ヤムヤム,バンダイ,34747,アクション,9800,－,×
USA アイスホッケー,ジャレコ,34047,スポーツ,9000,－,×
遊人 雀獣学園,バリエ,34292,テーブル,8900,－,×
遊人 雀獣学園2,バリエ,34656,テーブル,9800,－,×
遊人のふりふりガールズ,POW,34516,テーブル,8900,－,×
ユートピア,エピック・ソニーレコード,34271,シミュレーション,9500,－,×
UFO仮面 ヤキソバン,DEN'Z,34621,アクション,5890,－,×
幽☆遊☆白書,ナムコ,34325,シミュレーション,9600,－,×
幽☆遊☆白書2 格闘の章,ナムコ,34495,対戦格闘,9600,－,×
幽☆遊☆白書 特別篇,ナムコ,34690,シミュレーション,9800,－,×
幽☆遊☆白書FINAL～魔界最強列伝～,ナムコ,34782,対戦格闘,9800,－,×
ゆうゆのクイズでGO!GO!,タイトー,33795,その他,8500,－,×
夢幻の如く,インテック,34320,RPG,9800,－,×
妖怪バスター ルカの大冒険,角川書店,34859,アクション,8800,－,×
ヨーロッパ戦線,光栄,33985,シミュレーション,12800,－,×
ヨギ・ベア,マジファクト,34702,アクション,8800,－,×
横綱物語,KSS,34572,スポーツ,9800,－,×
横山光輝 三国志,エンジェル,33781,シミュレーション,9500,－,×
横山光輝 三国志II,エンジェル,34332,シミュレーション,9800,－,×
横山光輝 三国志盤戯,エンジェル,34690,テーブル,9800,－,×
ヨッシーのクッキー,BPS,34159,パズル,6600,－,×
4人将棋,POW,34894,テーブル,9800,－,×
46億年物語,ゲームプラン21,33959,アクション,9600,－,×
ライオン・キング,ヴァージンゲーム,34677,アクション,9980,－,×
ライズ オブ ザ ロボッツ,T&Eソフト,34690,対戦格闘,10900,－,×
雷電伝説,東映動画,33571,シューティング,8700,－,×
ライトファンタジー,トンキンハウス,33788,RPG,8900,－,×
ライトファンタジーII,トンキンハウス,34999,RPG,9900,－,×
ライブ・ア・ライブ,スクウェア,34579,RPG,9900,－,×
ラグーン,ケムコ,33585,アクションRPG,8500,－,×
ラストバイブルIII,アトラス,34762,RPG,10800,－,×
ラスベガスドリーム,イマジニア,34222,その他,9800,－,×
ラッシング・ビート,ジャレコ,33690,アクション,8700,－,×
ラッシング・ビート修羅,ジャレコ,34320,アクション,9700,－,×
ラッシング・ビート乱 複製都市,ジャレコ,33960,アクション,9600,－,×
ラブクエスト,徳間書店インターメディア,34775,RPG,9800,－,×
ラプラスの魔,ビック東海,34894,RPG,9900,－,×
ラモス瑠偉のワールドワイドサッカー,パック・イン・ビデオ,34390,スポーツ,9500,－,×
ラリー・ニクソン・スーパー・バスフィッシング,キングレコード,34599,スポーツ,9800,－,×
真・聖刻,ユタカ,34810,RPG,9800,－,×
らんま1/2 朱猫団的秘宝,東宝、小学館プロダクション,34264,RPG,9800,－,×
らんま1/2 奥義邪暗拳,東宝、小学館プロダクション,34901,パズル,8800,－,×
らんま1/2 超技乱舞篇,東宝、小学館プロダクション,34452,対戦格闘,9980,－,×
らんま1/2～町内激闘篇～,日本コンピュータシステム,33690,対戦格闘,8800,－,×
らんま1/2～爆烈乱闘篇～,日本コンピュータシステム,33963,対戦格闘,9600,－,×
リーサルエンフォーサーズ,コナミ,34404,スポーツ,9800,－,×
リーディングカンパニー,光栄,34026,シミュレーション,12800,－,×
リーディングジョッキー,カロッツェリアジャパン,34593,その他,9800,－,×
リーディングジョッキー2,カロッツェリアジャパン,35027,その他,9800,－,×
リジョイス～アレサ王国の彼方～,やのまん,34810,アクションRPG,9900,－,×
リターン・オブ・双截龍,テクノスジャパン,33893,アクション,8600,－,×
リディック・ボウ ボクシング,マイクロネット,34296,スポーツ,8400,－,×
リトルマジック,アルトロン,34327,パズル,8900,－,×
リトルマスター～虹色の魔石～,徳間書店インターメディア,34880,シミュレーション,9900,－,×
リブルラブル,ナムコ,34599,アクション,6300,－,×
龍騎兵団ダンザルブ,ユタカ,34082,RPG,9500,－,×
龍虎の拳,ケイ・アミューズメントリース,34271,対戦格闘,9800,－,×
龍虎の拳2,ザウルス,34689,対戦格闘,10900,－,×
林海峯九段の囲碁大道,アスク講談社,35146,テーブル,14800,－,×
リングにかけろ,日本コンピュータシステム,35947,スポーツ,2000,ニンテンドーパワー専用,×
ルインアーム,バンダイ,34873,アクションRPG,10800,－,×
LOONEY TUNES ロードランナーVSワイリーコヨーテ,サンソフト,33960,アクション,8600,－,×
ルドラの秘宝,スクウェア,35160,RPG,8000,－,×
ルパン三世 伝説の秘宝を追え!,エポック社,34695,アクション,9800,－,×
RES ARCANA ディアーナ・レイ 占いの迷宮,ココナッツジャパンエンターテイメント,34803,その他,9500,－,×
レッキングクルー'98,任天堂,35938,パズル,3800,－,×
レッスルマニア・ジ・アーケードゲーム,アクレイム ジャパン,35125,スポーツ,11800,－,×
レッド・オクトーバー,アルトロン,34243,シューティング,8800,－,×
レディーストーカー～過去からの挑戦～,タイトー,34790,アクションRPG,9980,－,×
レナス,アスミック,33921,RPG,9600,－,×
レナスII,アスミック,35272,RPG,9980,－,×
レボリューションX,アクレイム ジャパン,35125,シューティング,11800,－,×
レミングス,サンソフト,33590,パズル,8500,－,×
レミングス2,サンソフト,34558,パズル,9800,－,×
レンダリング・レンジャーR2,ヴァージンインタラクティブエンターテインメント,35020,アクション,10800,－,×
ロイヤルコンクエスト,ジャレコ,33935,シミュレーション,8500,－,×
ロードス島戦記,角川書店,35055,RPG,10800,－,×
ロードモナーク,エポック社,33886,シミュレーション,8800,－,×
ロードランナーツイン,T&Eソフト,34544,パズル,8800,－,×
ろくでなしBLUES,バンダイ,34439,対戦格闘,9800,－,×
ロケッティア,アイ・ジー・エス,33662,アクション,8900,－,×
ロゴス・パニック,ユタカ,35020,パズル,9800,－,×
ロックマン&フォルテ,カプコン,35909,アクション,5800,－,×
ロックマン7 宿命の対決!,カプコン,34782,アクション,9800,－,×
ロックマンX,カプコン,34320,アクション,9500,－,×
ロックマンX2,カプコン,34684,アクション,9800,－,×
ロックマンX3,カプコン,35034,アクション,9800,－,×
ロックマンズサッカー,カプコン,34418,スポーツ,9000,－,×
ロックンロールレーシング,ナムコ,34337,レース,7900,－,×
ロマンシング サ・ガ,スクウェア,33631,RPG,9500,－,×
ロマンシング サ・ガ2,スクウェア,34313,RPG,9900,－,×
ロマンシング サ・ガ3,スクウェア,35014,RPG,11400,－,×
ワールドカップストライカー,ココナッツジャパンエンターテイメント,34502,スポーツ,9980,－,×
ワールドカップUSA'94,サンソフト,34544,スポーツ,9800,－,×
ワールドクラスラグビー,ミサワエンターテインメント,33998,スポーツ,7900,－,×
ワールドクラスラグビー2,ミサワエンターテインメント,34341,スポーツ,9300,－,×
ワールド・サッカー,ココナッツジャパンエンターテイメント,34166,スポーツ,9500,－,×
ワールドヒーローズ,サンソフト,34193,対戦格闘,9800,－,×
ワールドヒーローズ2,ザウルス,34516,対戦格闘,9980,－,×
ワイアラエの奇蹟,T&Eソフト,33865,スポーツ,9800,－,×
ワイルドガンズ,ナツメ,34558,シューティング,9200,－,×
ワイルドトラックス,任天堂,34489,レース,9800,－,×
若貴大相撲～夢の兄弟対決～,イマジニア,34285,スポーツ,9800,－,×
ワギャンパラダイス,ナムコ,34684,アクション,8800,－,×
わくわくスキー わんだあシュプール,ヒューマン,34712,スポーツ,9600,－,×
笑っていいとも!タモリンピック,アテナ,34452,その他,9500,－,×
ワンダープロジェクトJ 機械の少年ピーノ,エニックス,34677,アドベンチャー,11800,－,×
ワンダラス マジック,アスキー,34320,RPG,9800,－,×
